,heartrate
2023-03-06 11:46:00,54.0
2023-03-06 11:48:00,56.0
2023-03-06 11:50:00,55.0
2023-03-06 11:52:00,56.0
2023-03-06 11:54:00,56.0
2023-03-06 11:56:00,56.0
2023-03-06 11:58:00,57.0
2023-03-06 12:00:00,57.0
2023-03-06 12:02:00,57.0
2023-03-06 12:04:00,55.0
2023-03-06 12:06:00,56.0
2023-03-06 12:08:00,57.0
2023-03-06 12:10:00,57.0
2023-03-06 12:12:00,58.0
2023-03-06 12:14:00,56.0
2023-03-06 12:16:00,55.0
2023-03-06 12:18:00,55.0
2023-03-06 12:20:00,57.0
2023-03-06 12:22:00,56.0
2023-03-06 12:24:00,56.0
2023-03-06 12:26:00,56.0
2023-03-06 12:28:00,57.0
2023-03-06 12:30:00,57.0
2023-03-06 12:32:00,57.0
2023-03-06 12:34:00,58.0
2023-03-06 12:36:00,57.0
2023-03-06 12:38:00,57.0
2023-03-06 12:40:00,58.0
2023-03-06 12:42:00,56.0
2023-03-06 12:44:00,57.0
2023-03-06 12:46:00,58.0
2023-03-06 12:48:00,58.0
2023-03-06 12:50:00,57.0
2023-03-06 12:52:00,58.0
2023-03-06 12:54:00,58.0
2023-03-06 12:56:00,59.0
2023-03-06 12:58:00,58.0
2023-03-06 13:00:00,58.0
2023-03-06 13:02:00,58.0
2023-03-06 13:04:00,58.0
2023-03-06 13:06:00,59.0
2023-03-06 13:08:00,59.0
2023-03-06 13:10:00,58.0
2023-03-06 13:12:00,63.0
2023-03-06 13:14:00,59.0
2023-03-06 13:16:00,57.0
2023-03-06 13:18:00,59.0
2023-03-06 13:20:00,59.0
2023-03-06 13:22:00,60.0
2023-03-06 13:24:00,59.0
2023-03-06 13:26:00,59.0
2023-03-06 13:28:00,60.0
2023-03-06 13:30:00,60.0
2023-03-06 13:32:00,60.0
2023-03-06 13:34:00,78.0
2023-03-06 13:36:00,78.0
2023-03-06 13:38:00,74.0
2023-03-06 13:40:00,60.0
2023-03-06 13:42:00,56.0
2023-03-06 13:44:00,56.0
2023-03-06 13:46:00,59.0
2023-03-06 13:48:00,59.0
2023-03-06 13:50:00,59.0
2023-03-06 13:52:00,76.0
2023-03-06 13:54:00,82.0
2023-03-06 13:56:00,72.0
2023-03-06 13:58:00,75.0
2023-03-06 14:00:00,81.0
2023-03-06 14:02:00,83.0
2023-03-06 14:04:00,64.0
2023-03-06 14:06:00,72.0
2023-03-06 14:08:00,60.0
2023-03-06 14:10:00,59.0
2023-03-06 14:12:00,62.0
2023-03-06 14:14:00,65.0
2023-03-06 14:16:00,68.0
2023-03-06 14:18:00,59.0
2023-03-06 14:20:00,66.0
2023-03-06 14:22:00,67.0
2023-03-06 14:24:00,63.0
2023-03-06 14:26:00,64.0
2023-03-06 14:28:00,62.0
2023-03-06 14:30:00,62.0
2023-03-06 14:32:00,66.0
2023-03-06 14:34:00,69.0
2023-03-06 14:36:00,72.0
2023-03-06 14:38:00,72.0
2023-03-06 14:40:00,75.0
2023-03-06 14:42:00,82.0
2023-03-06 14:44:00,83.0
2023-03-06 14:46:00,76.0
2023-03-06 14:48:00,71.0
2023-03-06 14:50:00,62.0
2023-03-06 14:52:00,51.0
2023-03-06 14:54:00,54.0
2023-03-06 14:56:00,53.0
2023-03-06 14:58:00,55.0
2023-03-06 15:00:00,55.0
2023-03-06 15:02:00,54.0
2023-03-06 15:04:00,54.0
2023-03-06 15:06:00,54.0
2023-03-06 15:08:00,56.0
2023-03-06 15:10:00,54.0
2023-03-06 15:12:00,66.0
2023-03-06 15:14:00,88.0
2023-03-06 15:16:00,90.0
2023-03-06 15:18:00,80.0
2023-03-06 15:20:00,78.0
2023-03-06 15:22:00,76.0
2023-03-06 15:24:00,70.0
2023-03-06 15:26:00,68.0
2023-03-06 15:28:00,63.0
2023-03-06 15:30:00,64.0
2023-03-06 15:32:00,64.0
2023-03-06 15:34:00,67.0
2023-03-06 15:36:00,72.0
2023-03-06 15:38:00,64.0
2023-03-06 15:40:00,66.0
2023-03-06 15:42:00,70.0
2023-03-06 15:44:00,78.0
2023-03-06 15:46:00,63.0
2023-03-06 15:48:00,61.0
2023-03-06 15:50:00,58.0
2023-03-06 15:52:00,59.0
2023-03-06 15:54:00,58.0
2023-03-06 15:56:00,57.0
2023-03-06 15:58:00,62.0
2023-03-06 16:00:00,52.0
2023-03-06 16:02:00,53.0
2023-03-06 16:04:00,60.0
2023-03-06 16:06:00,61.0
2023-03-06 16:08:00,58.0
2023-03-06 16:10:00,59.0
2023-03-06 16:12:00,63.0
2023-03-06 16:14:00,63.0
2023-03-06 16:16:00,68.0
2023-03-06 16:18:00,76.0
2023-03-06 16:20:00,69.0
2023-03-06 16:22:00,53.0
2023-03-06 16:24:00,51.0
2023-03-06 16:26:00,54.0
2023-03-06 16:28:00,63.0
2023-03-06 16:30:00,61.0
2023-03-06 16:32:00,62.0
2023-03-06 16:34:00,61.0
2023-03-06 16:36:00,61.0
2023-03-06 16:38:00,62.0
2023-03-06 16:40:00,62.0
2023-03-06 16:42:00,63.0
2023-03-06 16:44:00,69.0
2023-03-06 16:46:00,61.0
2023-03-06 16:48:00,63.0
2023-03-06 16:50:00,61.0
2023-03-06 16:52:00,59.0
2023-03-06 16:54:00,62.0
2023-03-06 16:56:00,66.0
2023-03-06 16:58:00,55.0
2023-03-06 17:00:00,74.0
2023-03-06 17:02:00,75.0
2023-03-06 17:04:00,56.0
2023-03-06 17:06:00,56.0
2023-03-06 17:08:00,56.0
2023-03-06 17:10:00,56.0
2023-03-06 17:12:00,58.0
2023-03-06 17:14:00,69.0
2023-03-06 17:16:00,72.0
2023-03-06 17:18:00,79.0
2023-03-06 17:20:00,78.0
2023-03-06 17:22:00,67.0
2023-03-06 17:24:00,62.0
2023-03-06 17:26:00,54.0
2023-03-06 17:28:00,57.0
2023-03-06 17:30:00,75.0
2023-03-06 17:32:00,68.0
2023-03-06 17:34:00,70.0
2023-03-06 17:36:00,76.0
2023-03-06 17:38:00,65.0
2023-03-06 17:40:00,67.0
2023-03-06 17:42:00,56.0
2023-03-06 17:44:00,54.0
2023-03-06 17:46:00,53.0
2023-03-06 17:48:00,56.0
2023-03-06 17:50:00,66.0
2023-03-06 17:52:00,70.0
2023-03-06 17:54:00,72.0
2023-03-06 17:56:00,74.0
2023-03-06 17:58:00,76.0
2023-03-06 18:00:00,78.0
2023-03-06 18:02:00,69.0
2023-03-06 18:04:00,63.0
2023-03-06 18:06:00,59.0
2023-03-06 18:08:00,78.0
2023-03-06 18:10:00,74.0
2023-03-06 18:12:00,65.0
2023-03-06 18:14:00,56.0
2023-03-06 18:16:00,61.0
2023-03-06 18:18:00,61.0
2023-03-06 18:20:00,54.0
2023-03-06 18:22:00,49.0
2023-03-06 18:24:00,51.0
2023-03-06 18:26:00,50.0
2023-03-06 18:28:00,70.0
2023-03-06 18:30:00,67.0
2023-03-06 18:32:00,52.0
2023-03-06 18:34:00,54.0
2023-03-06 18:36:00,52.0
2023-03-06 18:38:00,52.0
2023-03-06 18:40:00,56.0
2023-03-06 18:42:00,57.0
2023-03-06 18:44:00,54.0
2023-03-06 18:46:00,52.0
2023-03-06 18:48:00,50.0
2023-03-06 18:50:00,52.0
2023-03-06 18:52:00,54.0
2023-03-06 18:54:00,51.0
2023-03-06 18:56:00,52.0
2023-03-06 18:58:00,52.0
2023-03-06 19:00:00,53.0
2023-03-06 19:02:00,53.0
2023-03-06 19:04:00,54.0
2023-03-06 19:06:00,53.0
2023-03-06 19:08:00,52.0
2023-03-06 19:10:00,51.0
2023-03-06 19:12:00,52.0
2023-03-06 19:14:00,56.0
2023-03-06 19:16:00,52.0
2023-03-06 19:18:00,51.0
2023-03-06 19:20:00,51.0
2023-03-06 19:22:00,51.0
2023-03-06 19:24:00,51.0
2023-03-06 19:26:00,51.0
2023-03-06 19:28:00,51.0
2023-03-06 19:30:00,52.0
2023-03-06 19:32:00,51.0
2023-03-06 19:34:00,52.0
2023-03-06 19:36:00,60.0
2023-03-06 19:38:00,55.0
2023-03-06 19:40:00,48.0
2023-03-06 19:42:00,50.0
2023-03-06 19:44:00,50.0
2023-03-06 19:46:00,51.0
2023-03-06 19:48:00,51.0
2023-03-06 19:50:00,51.0
2023-03-06 19:52:00,52.0
2023-03-06 19:54:00,53.0
2023-03-06 19:56:00,53.0
2023-03-06 19:58:00,52.0
2023-03-06 20:00:00,52.0
2023-03-06 20:02:00,51.0
2023-03-06 20:04:00,50.0
2023-03-06 20:06:00,51.0
2023-03-06 20:08:00,51.0
2023-03-06 20:10:00,52.0
2023-03-06 20:12:00,53.0
2023-03-06 20:14:00,52.0
2023-03-06 20:16:00,52.0
2023-03-06 20:18:00,52.0
2023-03-06 20:20:00,52.0
2023-03-06 20:22:00,52.0
2023-03-06 20:24:00,52.0
2023-03-06 20:26:00,52.0
2023-03-06 20:28:00,53.0
2023-03-06 20:30:00,55.0
2023-03-06 20:32:00,51.0
2023-03-06 20:34:00,50.0
2023-03-06 20:36:00,51.0
2023-03-06 20:38:00,50.0
2023-03-06 20:40:00,49.0
2023-03-06 20:42:00,49.0
2023-03-06 20:44:00,49.0
2023-03-06 20:46:00,49.0
2023-03-06 20:48:00,49.0
2023-03-06 20:50:00,50.0
2023-03-06 20:52:00,50.0
2023-03-06 20:54:00,50.0
2023-03-06 20:56:00,50.0
2023-03-06 20:58:00,50.0
2023-03-06 21:00:00,50.0
2023-03-06 21:02:00,50.0
2023-03-06 21:04:00,49.0
2023-03-06 21:06:00,50.0
2023-03-06 21:08:00,49.0
2023-03-06 21:10:00,49.0
2023-03-06 21:12:00,49.0
2023-03-06 21:14:00,50.0
2023-03-06 21:16:00,50.0
2023-03-06 21:18:00,49.0
2023-03-06 21:20:00,50.0
2023-03-06 21:22:00,51.0
2023-03-06 21:24:00,50.0
2023-03-06 21:26:00,52.0
2023-03-06 21:28:00,55.0
2023-03-06 21:30:00,55.0
2023-03-06 21:32:00,58.0
2023-03-06 21:34:00,57.0
2023-03-06 21:36:00,56.0
2023-03-06 21:38:00,57.0
2023-03-06 21:40:00,55.0
2023-03-06 21:42:00,54.0
2023-03-06 21:44:00,53.0
2023-03-06 21:46:00,52.0
2023-03-06 21:48:00,52.0
